entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,Response Menu Sequence,Guid,ja,EventGuid,canvasRect
Player_Ionia_Wenger_Sanatorium_West_W2_12,2,12,7,9,,,Are you?,False,Block,Normal,,,,[],,,[],,,190dc0f9-eb5f-42d7-a90b-5a1ffc94fd23,,{{omit}},887.009;513.0505
Ganymede_Ionia_Wenger_Sanatorium_West_W2_13,2,13,9,7,,,[NSC]That's the spirit!,False,Block,Normal,,,,[],,,[],,,9febad40-31b1-4cc0-ae3a-cae11e31afa7,,{{omit}},527.8493;561.8656
Ganymede_Ionia_Wenger_Sanatorium_West_W2_14,2,14,9,7,,,Huh?,False,Block,Normal,,,,[],,,[],,,81d771b4-a7b8-4ad3-a366-d8351bc31222,,{{omit}},707.009;560.3647
Ganymede_Ionia_Wenger_Sanatorium_West_W2_16,2,16,9,7,,,[NS]Let's get to it!,False,Block,Normal,,,,[],,,[],,,3e35b95a-5c60-44ba-bb7c-b68a20aae018,,{{omit}},528.8491;607.4084
Ganymede_Ionia_Wenger_Sanatorium_West_W2_17,2,17,9,7,,,[S]Are you alright?,False,Block,Normal,,,,[],,,[],,,4dc148ec-6b7c-4e05-af01-54e69ca398a0,,{{omit}},707.009;608.3105
Ganymede_Ionia_Wenger_Sanatorium_West_W2_19,2,19,9,9,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nContinue()@1;",[],,,[],,,a4ab9f11-4bfd-4cf0-b969-ea10c75c074e,,{{omit}},2550.415;1644.514
Ganymede_Ionia_Wenger_Sanatorium_West_W2_20,2,20,9,9,,,[NSC]Good question!,False,Block,Normal,,,,[],,,[],,,bc99ce1e-0c3b-4542-87d2-5a10b279f55b,,{{omit}},912.6213;562.2507
Ganymede_Ionia_Wenger_Sanatorium_West_W2_21,2,21,9,9,,,[NS]I'm glad you haven't changed.,False,Block,Normal,,"Variable[""StillTheSame""] = true",,[],,,[],,,906fc8fe-88dc-4d2e-9688-b366d1b09b30,,{{omit}},911.4875;606.4408
Player_Ionia_Wenger_Sanatorium_West_W2_23,2,23,7,9,,,Who are you?,False,Block,Normal,,,,[],,,[],,,cc625d3d-c5af-45c3-bc7b-7c0ae35be6ec,,{{omit}},909.7328;663.2923
Player_Ionia_Wenger_Sanatorium_West_W2_24,2,24,7,9,,,Likewise.,False,Block,Normal,"Variable[""StillTheSame""] == true",,,[],,,[],,,be81598f-b033-4692-92fe-5c403d518c0d,,{{omit}},675.9292;689.7564
Ganymede_Ionia_Wenger_Sanatorium_West_W2_25,2,25,9,7,,,Something hit your head or what?,False,Block,Normal,,,,[],,,[],,,e202a58a-88c1-4f83-b36c-2eee0f115cda,,{{omit}},912.0573;713.6529
Ganymede_Ionia_Wenger_Sanatorium_West_W2_26,2,26,9,9,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nContinue()@0.5;",[],,,[],,,4b4dfa0c-c059-4229-a672-1223cb9d7cbe,,{{omit}},2552.778;1705.452
Ganymede_Ionia_Wenger_Sanatorium_West_W2_29,2,29,9,7,,,[NC]And here I was thinking we had something special...,False,Block,Normal,,,,[],,,[],,,282e5ab0-7da9-4549-a217-9ef2d1aa690f,,{{omit}},2547.636;1139.005
Ganymede_Ionia_Wenger_Sanatorium_West_W2_30,2,30,9,9,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nContinue()@1;",[],,,[],,,6050bf80-61e2-4c75-8df9-002078c47ea6,,{{omit}},2547.456;1191.521
Ganymede_Ionia_Wenger_Sanatorium_West_W2_31,2,31,9,9,,,"[pic=6]Then again, I don't mind being used.",False,Block,Normal,,,,[],,,[],,,a102498d-6b64-4274-adc8-8bb8c53daf2c,,{{omit}},2547.456;1239.88
Ganymede_Ionia_Wenger_Sanatorium_West_W2_32,2,32,9,7,,,"[NSC]As long as I get to use you, too.",False,Block,Normal,,,,[],,,[],,,430c559c-2c30-4a51-8865-0affa2d26cc3,,{{omit}},2547.456;1290.007
Ganymede_Ionia_Wenger_Sanatorium_West_W2_33,2,33,9,9,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nContinue()@1;",[],,,[],,,0a07d4ed-bd52-497d-b190-dfc3eed226e9,,{{omit}},2547.456;1341.521
Ganymede_Ionia_Wenger_Sanatorium_West_W2_34,2,34,9,9,,,[pic=6]But before that happens...,False,Block,Normal,,,,[],,,[],,,997a5c42-58eb-4f79-80bd-060648e12cae,,{{omit}},2547.456;1541.521
Ganymede_Ionia_Wenger_Sanatorium_West_W2_36,2,36,9,7,,,[NSC]Let's see what we can find out!,False,Block,Normal,,"Variable[""Home""] = true",,[],,,[],,,5823705f-b2cc-4ca2-8df3-fca3b469624c,,{{omit}},2546.774;1583.044
Ganymede_Ionia_Wenger_Sanatorium_West_W2_37,2,37,9,7,,,[NSC]You think so?,False,Block,Normal,,,,[],,,[],,,a8b3b21c-9aae-4d66-be39-9eb890d15c23,,{{omit}},676.6434;737.5123
Ganymede_Ionia_Wenger_Sanatorium_West_W2_38,2,38,9,7,,,"[RGC]I'm not sure, to be honest.",False,Block,Normal,,,,[],,,[],,,60f1907f-c130-4a3b-932c-2c277a387cfb,,{{omit}},676.6434;784.1237
Ganymede_Ionia_Wenger_Sanatorium_West_W2_39,2,39,9,7,,,[RG]But I guess we're about to find out.,False,Block,Normal,,,,[],,,[],,,97372cbe-3396-4c68-ab2f-74d09740fc0e,,{{omit}},678.8332;834.1467
Ganymede_Ionia_Wenger_Sanatorium_West_W2_40,2,40,9,9,,,[RC]Until one of us gets bored.,False,Block,Normal,,,,[],,,[],,,e0cd370e-f475-43a5-88d6-8abdeb2fa357,,{{omit}},2545.775;1391.521
Ganymede_Ionia_Wenger_Sanatorium_West_W2_41,2,41,9,9,,,[R]And the other one is left in tears.,False,Block,Normal,,,,[],,,[],,,7fdfba2b-5954-4592-b260-477310f70a7c,,{{omit}},2546.293;1440.093
Ganymede_Ionia_Wenger_Sanatorium_West_W2_42,2,42,9,9,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nContinue()@1;",[],,,[],,,cdf3c148-e530-4bbd-96e3-663b160e5b71,,{{omit}},2547.456;1490.56
Ganymede_Ionia_Wenger_Sanatorium_West_W2_70,2,70,9,9,,,,False,Block,Normal,"QT(""585faedd-2c98-46d4-84c4-9bd06349b182"") == ""Active"" and (Q(""d811a097-da26-4bd8-8263-98604a1be137"") == ""Not Added"")","Variable[""Home""] = true",Continue();,[],,,[],,,033d3489-6fc5-4053-8a7a-c44041ef44b4,,{{omit}},948;156
Ganymede_Ionia_Wenger_Sanatorium_West_W2_71,2,71,9,9,,,,False,Block,Normal,,,"required Music(Home, FadeIn, 1, true);\nContinue();",[],,,[],,,01396269-8e98-47be-a9a5-4550ad5b6e24,,{{omit}},706.2048;391.2189
Player_Ionia_Wenger_Sanatorium_West_W2_72,2,72,7,9,,,I don't know who you are.,False,Block,Normal,,,,[],,,[],,,2cef3842-1d26-4021-8957-602964e0225b,,{{omit}},911.6299;963.5932
Ganymede_Ionia_Wenger_Sanatorium_West_W2_73,2,73,9,9,,,[NSC]Then I guess..,False,Block,Normal,,,,[],,,[],,,7ceee98a-c28f-45af-a2b5-470fab4a2223,,{{omit}},909.3425;1012.272
Ganymede_Ionia_Wenger_Sanatorium_West_W2_74,2,74,9,9,,,[NS]It's high-time we get to know each other.,False,Block,Normal,,,,[],,,[],,,d0d635d5-b49f-4f53-b797-17e7f69a65b9,,{{omit}},911.2357;1061.3
Player_Ionia_Wenger_Sanatorium_West_W2_75,2,75,7,9,,,Who are you?,False,Block,Normal,,,,[],,,[],,,8213e148-633a-422f-917a-1fccbd4a92c2,,{{omit}},2548.07;1091.074
Player_Ionia_Wenger_Sanatorium_West_W2_76,2,76,7,9,,,You're being evasive.,False,Block,Normal,,,,[],,,[],,,d3dc7999-56c3-41e2-a72a-28ae3d3baa9a,,{{omit}},1093.134;766.0627
Ganymede_Ionia_Wenger_Sanatorium_West_W2_77,2,77,9,9,,,[NC]So are you!,False,Block,Normal,,,,[],,,[],,,b82a5dac-d980-48ee-bae6-abb64836ce1f,,{{omit}},1090.411;818.4161
Ganymede_Ionia_Wenger_Sanatorium_West_W2_78,2,78,9,9,,,[NSC]I guess..,False,Block,Normal,,,,[],,,[],,,1d1e29f0-2342-452e-9608-90a55ca5b6fe,,{{omit}},1093.63;913.6582
Ganymede_Ionia_Wenger_Sanatorium_West_W2_79,2,79,9,9,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,9e5d72e4-b806-4b49-8bae-cacf213604e5,,{{omit}},1088.068;865.3713
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_START,4,0,9,-1,START,,,False,Block,Normal,,,None(),[],,,[],,,9aa87c64-3929-4c1a-b652-12cca262de2e,,{{omit}},386.1257;21.04597
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_6,4,6,9,-1,,,"""<color=#811e1e>I<color=#FFFFFF>onia, a manifesto.""",False,Block,Normal,"Variable[""BooksFinished""] == 0",,,[],,,[],,,78381c8a-5bcf-4f28-826f-992a83b6c1fa,,{{omit}},169.5585;85.17027
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_8,4,8,9,9,,,[S]Is this guy showing up or what?,False,Block,Normal,,,,[],,,[],,,ac0f9725-2e46-42a6-af58-31cb5e5bd63e,,{{omit}},172.2277;269.9431
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_11,4,11,9,-1,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,c3e5cac5-501c-458b-962c-f7446ee30cb6,,{{omit}},170.5076;135.6033
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_12,4,12,9,9,,,[NC]Man.,False,Block,Normal,,,,[],,,[],,,3e806d49-22d3-4c3d-8679-756be8f4252c,,{{omit}},170.8579;181.0007
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_13,4,13,9,-1,,,,False,Block,Normal,,,"Audio(SFX/Environment/glass_smashable_small_break_01, oneshot);\nMusic(Home, Stop, 0, true);\nrequired Rotate(180)@0.2;\nContinue()@1;",[],,,[],,,9efe4245-ab74-4e29-9ddd-0628362980bb,,{{omit}},172.3605;313.7489
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_14,4,14,9,-1,,,[S]Hm?,False,Block,Normal,,,,[],,,[],,,c694f208-2fac-4b42-8ffa-3240737255e1,,{{omit}},854.3384;88.42003
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_15,4,15,9,-1,,,,False,Block,Normal,,,"Destination(Waypoint (1), 90)->Message(turn);\nRotate(90)@Message(turn);\nDelay(1)@Message(turn)->Message(end);\nContinue()@Message(end);",[],,,[],,,44acc773-a644-415d-b1f8-1e331b5d9230,,{{omit}},170.3648;361.967
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_16,4,16,9,-1,,,[S]What the fuck?,False,Block,Normal,,,,[],,,[],,,54aa1153-f01e-4eea-a06a-1d404f862c05,,{{omit}},169.1754;415.8999
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_17,4,17,9,-1,,,,False,Block,Normal,,"Variable[""BooksFinished""] = Variable[""BooksFinished""] + 1","Music(Stored, FadeIn, 5, false);\nContinue()@1;",[],,,[],,,f7eb0dc1-f9ae-4506-94d9-2373a3ed9921,,{{omit}},168.5653;459.2497
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_18,4,18,9,-1,,,[NC] ,False,Block,Normal,"Variable[""BooksFinished""] == 1",,,[],,,[],,,64a83caa-7115-4c57-a52e-31d3f2d16899,,{{omit}},389.2424;66.44604
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_19,4,19,9,-1,,,Is that how it is?,False,Block,Normal,,,,[],,,[],,,c045a9e4-a8ab-433e-8cfb-d405b0e7ad02,,{{omit}},388.0117;119.1228
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_20,4,20,9,-1,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,413fc047-7f3a-4a52-85ef-fc5d0cc9238d,,{{omit}},389.1228;170
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_21,4,21,9,9,,,[NC]Clever.,False,Block,Normal,,,,[],,,[],,,9846271a-341f-448b-a5d6-d8e438ec26e1,,{{omit}},389.2424;217.656
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_22,4,22,9,9,,,"[RGC]Very, very.",False,Block,Normal,,,,[],,,[],,,9b70eaf8-ba9a-4f63-b3fb-ee235c92306b,,{{omit}},391.2424;262.8109
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_23,4,23,9,9,,,[RG]Clever.,False,Block,Normal,,,,[],,,[],,,dfb63a0c-f15b-4ca6-8efb-7554dfaaa4eb,,{{omit}},390.6819;314.9136
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_24,4,24,9,9,,,[NSC]Nothing to see here.,False,Block,Normal,"Variable[""BooksFinished""] == 2",,,[],,,[],,,1ff18ea2-3671-4e83-8157-778da334869c,,{{omit}},588.0136;62.62605
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_27,4,27,9,9,,,,False,Block,Normal,,,"Audio(SFX/Action/Knock, listener, oneshot)@1;\nAudio(SFX/Action/Knock, listener, oneshot)@1.5;\nrequired Rotate(-90)@1.6->Message(turn);\nContinue()@2.5;",[],,,[],,,e8fef64c-d5a9-4d3d-a79b-142a52bd4715,,{{omit}},1134.701;1073.679
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_29,4,29,9,9,,,[S]Huh?,False,Block,Normal,,,,[],,,[],,,b244f66f-b09e-4d07-bbae-6ca77196c3db,,{{omit}},2548.067;1392.334
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_30,4,30,9,-1,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,16b32582-271e-4833-86c8-7a9f345bfad0,,{{omit}},1135.975;1131.183
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_31,4,31,9,9,,,Come in... I guess?,False,Block,Normal,,,,[],,,[],,,16a192ae-7c2b-4e69-82f6-a2bd7288c67e,,{{omit}},1135.24;1184.395
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_32,4,32,9,-1,,,,False,Block,Normal,,,"Spawn(Andreos, Door, -90);\nAudio(SFX/Environment/Door Open)@1;\nAudio(SFX/Environment/Door Open)@2;\nContinue()@2.2;",[],,,[],,,9ccbcbf7-8c58-4c19-ba12-86a0859e2501,,{{omit}},1134.764;1227.538
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_33,4,33,8,9,,,Hello Timotej.,False,Block,Normal,,,,[],,,[],,,8e0fd701-f682-45a3-8e0a-267b9cbeeba8,,{{omit}},1137.026;1326.356
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_34,4,34,9,-1,,,[S]Yo.,False,Block,Normal,,,,[],,,[],,,0233d64b-1433-413b-abc5-33c6c3a130b6,,{{omit}},1137.789;1375.21
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_35,4,35,9,-1,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,5688fc85-6b2e-4fcf-8099-be5a9ee1fd4a,,{{omit}},1138.654;1421.891
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_37,4,37,8,9,,,Ready to talk some more?,False,Block,Normal,,,,[],,,[],,,38c07853-a2a7-447e-8e5a-e4bec4d7ace6,,{{omit}},1134.869;1477.06
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_38,4,38,9,-1,,,[SC]Not really.,False,Block,Normal,,,,[],,,[],,,ed75f87c-58f2-473a-a444-9e29b8834e7c,,{{omit}},1136.266;1521.202
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_40,4,40,9,-1,,,[S]But it doesn't matter.,False,Block,Normal,,,,[],,,[],,,eecfbfd6-023e-4e9a-9c9b-69385137eaa0,,{{omit}},1140.637;1570.674
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_42,4,42,8,9,,,Alright.,False,Block,Normal,,,,[],,,[],,,68d73ebc-03cf-4ca5-9caa-2be17c3d44ff,,{{omit}},1137.635;1618.73
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_43,4,43,9,-1,,,,False,Block,Normal,,,Continue()@2;,[],,,[],,,27c669d9-2540-4df5-ac5f-1035aa29ae6b,,{{omit}},1139.951;1671.398
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_44,4,44,8,9,,,Mind if I sit down?,False,Block,Normal,,,,[],,,[],,,ae006882-bed0-40c9-bbea-9780e8a0f1ac,,{{omit}},1135.424;1719.061
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_46,4,46,9,-1,,,It's your house.,False,Block,Normal,,,,[],,,[],,,2ec0667f-0680-4025-af37-c2737494d224,,{{omit}},1134.772;1766.052
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_47,4,47,8,9,,,It's your room.,False,Block,Normal,,,,[],,,[],,,e11f3587-3f95-4faf-9cd4-a8206aff0d01,,{{omit}},1134.772;1816.363
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_48,4,48,9,9,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,51079ab9-70f8-47e3-b8b6-c0e605cc9615,,{{omit}},1134.772;1861.271
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_49,4,49,9,7,,,"[SC]Yeah, whatever.",False,Block,Normal,,,,[],,,[],,,35a6622d-a08f-4853-a06e-a1186f9733b4,,{{omit}},1134.772;1910.032
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_50,4,50,9,8,,,,False,Block,Normal,,,"Music(Home, FadeOut, 2, false);\nrequired Destination(Waypoint (3), 0)@0.5->Message(turn);\nrequired Destination(Waypoint (4), 180, listener)@1;\nDelay(1)@Message(turn)->Message(end);\nContinue()@Message(end);",[],,,[],,,80f24f06-53b1-4f5a-b68e-e2ac22c49306,,{{omit}},1135.019;1950.778
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_51,4,51,9,7,,,Let's get it over with.,False,Block,Normal,,,,[],,,[],,,9ad98ccf-6c94-4b2b-86df-b8d4b1a0c602,,{{omit}},1138.348;2000.186
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_53,4,53,9,7,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,d779b7c6-5375-40d7-94b5-3277f9fc94b9,,{{omit}},1137.026;2051.648
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_54,4,54,9,-1,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nrequired Rotate(-90);\nContinue()@1;",[],,,[],,,2af8a0f9-618e-4182-8bc8-e843d72b97a1,,{{omit}},0;0
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_55,4,55,9,-1,,,,False,Block,Normal,,,"SendMessage(Close, , Subtitle Panel);\nrequired Rotate(-90);\nContinue()@1;",[],,,[],,,cc7cddb3-bc50-4011-a7f4-1e855d681fad,,{{omit}},0;0
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_56,4,56,9,-1,,,,False,Block,Normal,,,required Rotate(-90);\nContinue()@0.2;,[],,,[],,,c346a489-df82-44d4-81f8-3f1ae53f9633,,{{omit}},171.9007;225.1464
Iosef_Andreos_Ionia_Wenger_Sanatorium_West_W2_Books_57,4,57,8,-1,,,,False,Block,Normal,,,"Destination(Waypoint (2), 90)->Message(end);\nrequired Rotate(90)@Message(end);\nDelay(1)@Message(end)->Message(final);\nContinue()@Message(final);",[],,,[],,,602a4653-2c12-45bc-92fe-8a3bc85846dd,,{{omit}},1136.982;1274.286
Player_Ionia_Wenger_Sanatorium_West_W2_Books_58,4,58,7,9,,,END,False,Block,Normal,,"Variable[""BooksFinished""] = Variable[""BooksFinished""] + 1",,[],,,[],,{{omit}},1dbdec46-24d6-4f59-9374-9b337559b367,,{{omit}},387.1687;363.1415
Player_Ionia_Wenger_Sanatorium_West_W2_Books_59,4,59,7,9,,,What does it say?,False,Block,Normal,,,,[],,,[],,{{omit}},c59266c3-967c-4abf-9f92-bcf44c9177cf,,{{omit}},573.3594;420.381
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_60,4,60,9,9,,,[NS]You want me to tell you?,False,Block,Normal,,,required Rotate(-90);\nContinue()@Message(Continue);,[],,,[],,,5ec20e33-078f-43a6-bbe1-6d6d72b431f1,,{{omit}},575.7596;468.3947
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_61,4,61,9,9,,,[NS]How much?,False,Block,Normal,,,,[],,,[],,,d96a7891-5e72-4967-890d-ff436cd11d7e,,{{omit}},574.9595;566.5506
Player_Ionia_Wenger_Sanatorium_West_W2_Books_62,4,62,7,9,,,Yeah.,False,Block,Normal,,,,[],,,[],,{{omit}},33341327-658d-4919-9cef-f34bedfb6659,,{{omit}},574.9594;516.3809
Player_Ionia_Wenger_Sanatorium_West_W2_Books_63,4,63,7,9,,,Screw you.,False,Block,Normal,,,,[],,,[],,{{omit}},14987a11-b83e-49ab-a97f-c20003785b2d,,{{omit}},446.1595;619.5809
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_64,4,64,9,9,,,[NSC]Your loss.,False,Block,Normal,,"Variable[""BooksFinished""] = Variable[""BooksFinished""] + 1",,[],,,[],,,07085ca6-f165-4dc4-a1bd-97d324304545,,{{omit}},446.7363;665.7021
Player_Ionia_Wenger_Sanatorium_West_W2_Books_65,4,65,7,9,,,Very much.,False,Block,Normal,,,,[],,,[],,{{omit}},8f1c5fcb-a116-4aa9-89e3-928baa5f7197,,{{omit}},620.9899;617.0493
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_66,4,66,9,9,,,[NSC]Alright.,False,Block,Normal,,,,[],,,[],,,e2891297-1a18-4ea1-ad35-6f0aa47683c3,,{{omit}},621.1325;674.3674
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_67,4,67,9,9,,,[NS]Tell me your name.,False,Block,Normal,,,,[],,,[],,,fd67e4fb-185b-41b6-a32e-16e3b81b8b1b,,{{omit}},621.7654;723.1536
Player_Ionia_Wenger_Sanatorium_West_W2_Books_68,4,68,7,9,,,Ganymede.,False,Block,Normal,,,,[],,,[],,{{omit}},e4d80746-2b63-41ee-8ad1-13bf2a3b8e57,,{{omit}},859.0783;771.2581
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_69,4,69,9,9,,,"[RG]Small word, huh?",False,Block,Normal,,,,[],,,[],,,a05f5abb-c155-4b1d-bedb-5ae5ba0505de,,{{omit}},859.898;816.6411
Player_Ionia_Wenger_Sanatorium_West_W2_Books_70,4,70,7,9,,,No chance.,False,Block,Normal,,,,[],,,[],,{{omit}},69c3dace-cf69-49aa-a3b1-3d93470bb0f8,,{{omit}},433.409;962.401
Player_Ionia_Wenger_Sanatorium_West_W2_Books_71,4,71,7,9,,,[var=PlayerName],False,Block,Normal,,,,[],,,[],,{{omit}},1eb9b8ef-8d34-41b7-9b12-c6f0247c9568,,{{omit}},651.3091;892.9744
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_72,4,72,9,9,,,[NSC]Either way.,False,Block,Normal,,,,[],,,[],,,85f528ff-d23d-4606-aad4-dc0bc166d3a5,,{{omit}},859.0587;911.931
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_73,4,73,9,9,,,[NS]I'm honoured.,False,Block,Normal,,,,[],,,[],,,c45a95fa-2f96-4d2c-995a-2087ed281ee1,,{{omit}},858.1043;962.7506
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_74,4,74,9,-1,,,,False,Block,Normal,,,Continue()@1;,[],,,[],,,9f0685b7-7199-4aa1-8d46-6d6a68b7291f,,{{omit}},860.5633;863.6442
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_75,4,75,9,9,,,[RGC]Who would've thought.,False,Block,Normal,,,,[],,,[],,,9d1fe5d1-6bcc-40cf-a545-90bffc2082fa,,{{omit}},649.7988;941.9246
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_76,4,76,9,9,,,[RG]That's exactly what it says!,False,Block,Normal,,,,[],,,[],,,03c50d51-26ea-4e0e-8707-66644d9d003a,,{{omit}},651.2965;999.8608
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_77,4,77,9,9,,,[NSC]Alright.,False,Block,Normal,,,,[],,,[],,,e697a82e-e2d4-461b-acd5-7130601ffc86,,{{omit}},429.5288;1011.585
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_78,4,78,9,9,,,[NS]Keep your secrets.,False,Block,Normal,,,,[],,,[],,,26636ace-5f93-4df3-b75e-ef427151957a,,{{omit}},432.4991;1059.137
Ganymede_Ionia_Wenger_Sanatorium_West_W2_Books_79,4,79,9,9,,,,False,Block,Normal,,"orkStart(""Transfer"", ""Player"");",,[],,,[],,{{omit}},{{omit}},,{{omit}},1137.026;2101.648
